Event Type,Event Date,Participants,Active Members,Participation Rate,Avg Score,High Score,Low Score
Polar Invasion,2026-03-17,65,114,57.0,27510.0,141000,1679
Wasteland Showdown,2026-03-20,69,113,61.1,20112.0,106545,0
Void War,2026-03-22,66,111,59.5,78461417.0,1385409188,34077
Elite War,2026-03-23,46,110,41.8,734812.0,4647784,0
Polar Invasion,2026-03-24,60,112,53.6,24635.0,159588,0
Ironblood Battlefield,2026-03-26,52,112,46.4,58306902.0,179657060,365940
Wasteland Showdown,2026-03-27,64,116,55.2,17225.0,92940,0
Elite War,2026-04-01,62,112,55.4,4429922.0,29612450,0
Elite War,2026-04-03,61,109,56.0,5260815.0,30081527,775991
Wasteland Showdown,2026-04-03,59,109,54.1,12359.0,43870,1208
Battle Frenzy,2026-04-04,73,111,65.8,17872773.0,288151084,26176
Polar Invasion,2026-04-07,55,112,49.1,29512.0,223797,3614
Wasteland Showdown,2026-04-10,65,107,60.7,14022.0,52857,1145
Elite War,2026-04-12,68,111,61.3,4795517.0,24001407,152968
Polar Invasion,2026-04-14,62,106,58.5,34153.0,226878,1890
Ironblood Battlefield,2026-04-16,53,104,51.0,74581737.0,363550780,4219302
Void War,2026-04-18,80,105,76.2,45837322.0,714702054,5
Elite War,2026-04-19,53,104,51.0,2483412.0,10826501,0
Polar Invasion,2026-04-21,59,103,57.3,23008.0,145096,1756
Wasteland Showdown,2026-04-24,51,104,49.0,38120.0,225278,14750
Elite War,2026-04-27,56,103,54.4,3442015.0,10607541,1130946
Polar Invasion,2026-04-28,69,104,66.3,28854.0,149220,1965
lronblood Battlefield,2026-04-30,44,105,41.9,88908826.0,291340070,395751
Wasteland Showdown,2026-05-01,60,103,58.3,17797.0,107987,385
Battle Frenzy,2026-05-02,61,103,59.2,5386832.0,197196523,1
Elite War,2026-05-03,46,103,44.7,2115920.0,6067843,394108
Polar Invasion,2026-05-05,62,103,60.2,35987.0,218316,4378
Wasteland Showdown,2026-05-08,63,103,61.2,18168.0,114856,50
Elite War,2026-05-11,44,103,42.7,1378305.0,10314372,187256
Polar Invasion,2026-05-12,61,103,59.2,30453.0,206807,647
lronblood Battlefield,2026-05-14,37,103,35.9,90639596.0,338566623,16010839
