Member Name,Position,City Level,Battle Power,Events Listed,Events Attended,Attendance %,Avg % of Mean Score,Avg Percentile,Best Event Type,Worst Event Type,Trend (slope),Consistency (CV%)
Prison◇Mike,R5,41,83001263,15,6,40,427.7,96.0,Polar Invasion,Wasteland Showdown,-67.7,49.9
SUN써니,R3,40,85917856,14,13,93,301.4,92.7,Polar Invasion,Battle Battle Frenzy,+3.0,36.9
Ultraviolet,R4,35,37314640,1,1,100,171.8,92.1,Elite War,,,
Saitama,R3,39,60316721,14,7,50,233.2,88.8,Void War War,Polar Invasion,+17.1,46.9
morizou57577,R4,38,44435539,15,12,80,363.7,88.0,Polar Invasion,Void War War,-14.7,54.6
Prison◇Tyke,R3,40,59201785,14,10,71,589.2,87.9,Void War War,Wasteland Showdown,-15.3,104.3
Dwh,R4,37,41160415,14,13,93,215.1,87.2,Wasteland Showdown,Battle Battle Frenzy,+1.0,39.3
UltraViolet,R4,35,37314640,14,9,64,183.1,86.3,Polar Invasion,Void War War,-0.8,44.5
Beni,R4,36,28684046,14,14,100,164.3,82.2,Void War War,Wasteland Showdown,-6.7,34.4
nemex,R4,36,34828344,14,13,93,140.2,74.1,Battle Battle Frenzy,Ironblood Battlefield,+0.1,50.3
tama,,,,13,6,46,118.5,73.8,Ironblood Battlefield,Void War War,-1.5,40.1
キーカー_tufuuu,R1,35,27273891,14,7,50,133.6,73.6,Battle Battle Frenzy,Elite War,+2.8,37.5
Samoon,R3,41,97266877,14,7,50,281.0,71.8,Elite War,Ironblood Battlefield,+43.4,86.3
_SerGio.S_,R2,34,23948373,14,11,79,113.6,69.9,Wasteland Showdown,Battle Battle Frenzy,+2.9,44.7
Alisa,,,,13,13,100,101.6,69.1,Wasteland Showdown,Void War War,+4.1,31.8
DesTrOy,,,,17,11,65,111.4,67.8,Ironblood Battlefield,Polar Invasion,-4.4,46.7
とす︎Tosu,R1,34,24905012,14,14,100,113.8,66.5,Ironblood Battlefield,Battle Battle Frenzy,-1.3,52.9
shafiq,R3,35,24169028,14,13,93,142.7,65.4,Void War War,Polar Invasion,-2.4,87.6
Yoeshua,R3,36,24372711,14,7,50,155.2,64.2,Polar Invasion,Elite War,-65.5,107.7
NEMO,R3,36,34485706,14,12,86,140.8,64.1,Polar Invasion,Void War War,-5.3,70.7
KillerDave,,,,15,12,80,123.6,63.6,Elite War,Battle Battle Frenzy,+0.3,62.9
ۣۜT๖ۣۜE๖ۣۜP,R1,34,20657109,14,8,57,101.5,63.6,Wasteland Showdown,Battle Battle Frenzy,+0.5,35.8
REXYY,R2,34,26465826,14,13,93,92.2,60.2,Ironblood Battlefield,Void War War,+1.9,36.7
Hahi600,,,,13,12,92,86.5,59.7,Ironblood Battlefield,Polar Invasion,+1.7,27.5
Mkhitar,R1,35,24110070,14,9,64,96.3,59.2,Elite War,Ironblood Battlefield,-3.4,38.0
N_SAKU,R3,37,30893627,14,13,93,118.2,58.3,Void War War,Battle Battle Frenzy,-7.0,72.0
ML_Faker,R3,35,29931464,14,14,100,83.9,58.1,Wasteland Showdown,Ironblood Battlefield,+4.7,53.8
SHAGS,R3,35,30819861,14,11,79,89.2,57.7,Wasteland Showdown,Battle Battle Frenzy,+0.9,56.0
Andi,R2,34,20977784,14,8,57,87.5,54.8,Battle Battle Frenzy,Ironblood Battlefield,+8.3,44.1
UnderStorm,R3,36,37045733,14,11,79,91.7,54.8,Polar Invasion,Void War War,-7.6,55.0
Tay,R1,36,31223917,14,9,64,119.0,53.9,Polar Invasion,Void War War,-0.8,89.0
Titiboss,R2,35,30093955,14,10,71,82.0,53.7,Wasteland Showdown,Polar Invasion,+3.7,39.5
Fada,R2,35,27812239,16,6,38,82.5,53.4,Elite War,Battle Battle Frenzy,-9.2,45.2
Santei,R1,35,24758687,14,14,100,79.8,52.6,Ironblood Battlefield,Battle Battle Frenzy,+0.6,53.9
solotank,R3,35,28049081,14,14,100,81.5,52.5,Ironblood Battlefield,Elite War,+0.5,49.9
GEO,R2,36,30274540,14,7,50,76.7,51.8,Wasteland Showdown,Void War War,+4.4,44.6
Treppix,R3,36,32402184,16,12,75,95.0,51.8,Void War War,Polar Invasion,+0.8,66.2
ArtySmartyPants,R2,34,26118572,14,11,79,77.0,51.4,Wasteland Showdown,Battle Battle Frenzy,-2.2,62.3
dongdong동동,R4,36,35669903,14,14,100,77.3,49.9,Ironblood Battlefield,Void War War,-3.1,67.7
CaptainInsano,R1,37,42175291,14,5,36,209.8,49.1,Polar Invasion,Elite War,+91.5,149.2
Ironman,R3,35,27015763,14,7,50,67.4,49.1,Wasteland Showdown,Elite War,-7.4,63.4
༒۝warlord۝༒,R1,34,21934048,14,8,57,83.8,48.5,Battle Battle Frenzy,Polar Invasion,-4.6,69.0
Fred,R2,34,26898666,14,11,79,76.0,47.9,Ironblood Battlefield,Void War War,+1.6,43.9
pastaga,R2,35,30692975,14,11,79,74.4,47.4,Elite War,Battle Battle Frenzy,-0.5,56.2
sakura,R3,35,28730203,14,13,93,67.0,46.6,Battle Battle Frenzy,Polar Invasion,+5.1,42.1
Jollibee,R1,34,20447392,21,13,62,72.3,46.3,Ironblood Battlefield,Void War War,+4.9,66.4
TwinDad,R2,35,26235793,14,12,86,62.7,44.4,Elite War,Void War War,+5.9,67.0
Steven,R1,34,21980878,14,14,100,68.7,44.2,Ironblood Battlefield,Void War War,+3.2,49.7
Arsenal,,,,14,2,14,75.7,43.1,Elite War,Wasteland Showdown,,13.8
Boy,R1,36,29364748,14,10,71,76.0,43.1,Battle Battle Frenzy,Void War War,+6.3,59.2
Otsutsuki,R1,34,18309728,14,13,93,65.6,42.8,Wasteland Showdown,Void War War,+1.4,54.4
AYANO,R1,34,29896842,14,12,86,67.7,42.2,Polar Invasion,Battle Battle Frenzy,-1.5,45.5
Pdawg,R1,35,26672442,14,5,36,69.6,41.9,Polar Invasion,Wasteland Showdown,+6.9,61.4
HooliGan,R1,34,25913907,14,12,86,63.6,41.6,Ironblood Battlefield,Wasteland Showdown,-1.3,72.1
Vanhelsing,R4,35,27695932,14,11,79,64.6,41.2,Ironblood Battlefield,Battle Battle Frenzy,+1.8,69.5
Ali_,R2,36,26209593,15,4,27,49.8,40.8,Wasteland Showdown,Void War War,+38.7,102.2
18.Jihad,R1,34,19409428,1,1,100,79.5,39.7,Elite War,,,
TKO,R1,35,20955299,14,9,64,63.5,39.3,Void War War,Wasteland Showdown,-1.6,44.1
suzaku,R1,35,23319455,14,13,93,59.0,39.1,Ironblood Battlefield,Void War War,+1.9,64.2
鹿さんSIKA,R1,35,25116975,14,8,57,55.2,38.7,Wasteland Showdown,Ironblood Battlefield,+7.7,67.5
tamo,R1,34,23905667,14,3,21,53.6,37.4,Polar Invasion,Battle Battle Frenzy,+15.0,78.7
18.jihad,R1,34,19409428,13,13,100,57.5,37.2,Ironblood Battlefield,Void War War,+3.5,65.9
Vanilla_바닐라,,,,14,1,7,55.9,36.4,Polar Invasion,,,
lion,R1,34,20631045,14,10,71,63.8,36.3,Ironblood Battlefield,Void War War,-0.5,85.9
Paco30,,,,7,6,86,49.9,35.6,Wasteland Showdown,Void War War,+1.5,53.7
KOOL,R1,34,15275421,14,13,93,55.7,35.3,Wasteland Showdown,Polar Invasion,+3.2,45.9
Atlantis,R1,35,28319286,14,4,29,66.7,35.2,Elite War,Battle Battle Frenzy,-1.7,70.8
SharpBlade,R1,35,25943242,14,7,50,56.9,35.1,Ironblood Battlefield,Wasteland Showdown,+0.1,59.2
ᦏHuskyᦑ,R4,35,18603225,14,8,57,49.8,33.4,Battle Battle Frenzy,Wasteland Showdown,+5.2,64.5
Frosttttttt,R1,36,33006963,14,3,21,52.6,32.6,Wasteland Showdown,Elite War,+34.3,88.7
_Ali_,,,,13,4,31,48.8,32.6,Wasteland Showdown,Elite War,-10.4,48.3
Alex_venom,R1,35,25939934,14,8,57,55.6,32.4,Wasteland Showdown,Battle Battle Frenzy,+5.4,64.9
RIP,R1,34,25954734,14,6,43,54.7,31.8,Elite War,Polar Invasion,-1.1,52.1
GDog,R3,36,30259256,18,12,67,51.8,31.2,Ironblood Battlefield,Void War War,-0.3,72.0
SPIDER,R2,34,20797313,14,8,57,43.3,31.0,Wasteland Showdown,Battle Battle Frenzy,+8.7,85.8
MINH@DUC,,,,18,10,56,55.3,30.9,Battle Battle Frenzy,Polar Invasion,+9.1,94.7
Eagles,R2,36,34274265,14,2,14,38.2,29.6,Polar Invasion,,,41.7
